date_inicial,date_final,IrrDia_1,th1_dia1,th1_dia2,th1_dia3,th2_dia1,th2_dia2,th2_dia3,MinTemp_dia1,MinTemp_dia2,MinTemp_dia3,MaxTemp_dia1,MaxTemp_dia2,MaxTemp_dia3,Precipitation_dia1,Precipitation_dia2,Precipitation_dia3,ReferenceET_dia1,ReferenceET_dia2,ReferenceET_dia3
1991-04-17,1991-04-19,2.852665736816508,0.2105799644211581,0.1844622961388994,0.1615090759714208,0.22,0.22,0.22,7.23,4.98,4.52,18.83,16.76,22.27,0.06,0.0,0.0,3.5831728808403667,3.444864942733146,4.497555709286154
1991-04-20,1991-04-22,10.797311280214773,0.2243380641136886,0.1767290103040104,0.1393799785698156,0.22,0.2203560644297319,0.2200326980380414,7.55,7.24,10.26,22.22,23.52,27.76,0.0,0.0,0.02,4.104011332716361,4.26314115406969,4.967037719697391
1991-04-23,1991-04-25,13.523741491667131,0.2267558898191248,0.1756184183940401,0.1471456533986375,0.2200030075207411,0.2205492586921718,0.2200503912247316,12.13,11.23,9.27,25.08,25.43,25.85,0.0,0.0,0.0,4.35104578794201,4.404561419774876,4.643136261585292
1991-04-26,1991-04-28,12.397449887743814,0.2181215149389369,0.1746616907011229,0.1452290600239782,0.2200046345110202,0.2200004263350228,0.2200000392199578,10.35,10.39,12.12,27.51,25.69,23.55,0.0,0.0,0.02,4.818057939739889,4.42987497357573,3.507582899394123
1991-04-29,1991-05-01,5.61834118933354,0.2248684850916151,0.3466731205065134,0.1916644080975656,0.2200000036079794,0.2203987311402317,0.2241555190833651,13.06,16.9,13.21,24.64,23.87,24.8,5.72,16.3,0.32,3.067635165972592,2.447036049546396,3.6059468497647815
1991-05-02,1991-05-04,3.6065415347412526,0.2301344939925173,0.1999849979291024,0.1847891869034423,0.2203744298883717,0.2208431099995512,0.2200772378068876,14.57,9.59,5.89,23.89,18.62,17.42,3.04,0.06,0.0,2.5450299502237206,2.1782452730137134,2.065632017601544
1991-05-05,1991-05-07,5.79219521936168,0.2033667080263179,0.1803588976422935,0.1545461924529115,0.2200071026657594,0.2200006533760023,0.2200000601061352,4.46,4.91,6.69,18.86,17.9,22.4,0.0,0.81,0.0,3.57676646097648,3.15229474115544,3.8692257534616505
1991-05-08,1991-05-10,10.806148328807827,0.2184894990902777,0.1785543189063104,0.1482336695521522,0.2200000055293706,0.2200000005086659,0.2200000000467939,7.56,9.73,10.36,23.37,23.95,24.14,0.0,0.0,0.0,4.010743331882921,3.652542998595419,3.871294209896911
1991-05-11,1991-05-13,1.368423630886609,0.2445435282531813,0.1993835274333588,0.1787803666249402,0.2200000000043047,0.2218426599268074,0.2201679702221914,13.57,10.33,8.05,19.99,19.41,18.21,10.07,0.1,0.19,1.643125237076084,2.250952165026093,2.251493906691202
1991-05-14,1991-05-16,6.596643297360327,0.2058430700371709,0.1666543301255432,0.1308625897220396,0.2200154393544938,0.2200014202116506,0.2200001306492894,7.57,8.55,8.76,21.87,22.09,23.43,0.0,0.0,0.0,3.53670268739751,3.5626127192388823,3.606266026922667
1991-05-17,1991-05-19,12.87689262961493,0.2206883616587475,0.1889539126042931,0.3822023574791103,0.2200000120188743,0.220057342682898,0.2200052736597984,11.31,13.31,13.13,24.33,24.4,22.52,0.0,0.0,23.15,3.5402867599492245,2.828108818341629,2.319883666342383
1991-05-23,1991-05-25,7.744400049360705,0.2192684264248006,0.1852445372855556,0.1530137663614866,0.2200018875786869,0.2200001736433054,0.2200000159740374,6.4,8.77,8.1,21.65,21.7,20.17,0.0,0.0,0.0,3.4936378877572114,3.09308083084046,2.930070084006278
