date_inicial,date_final,IrrDia_1,IrrDia_2,IrrDia_3,th1_dia1,th1_dia2,th1_dia3,th2_dia1,th2_dia2,th2_dia3,MinTemp_dia1,MinTemp_dia2,MinTemp_dia3,MaxTemp_dia1,MaxTemp_dia2,MaxTemp_dia3,Precipitation_dia1,Precipitation_dia2,Precipitation_dia3,ReferenceET_dia1,ReferenceET_dia2,ReferenceET_dia3,Estresse_hidrico_dia1,Estresse_hidrico_dia2,Estresse_hidrico_dia3
2000-01-01,2000-01-03,0.0,3.96,4.18,0.1894055479180841,0.2189261426042972,0.2233261426042972,0.22,0.22,0.22,11.3,11.3,8.6,27.3,26.7,26.7,0.0,0.0,0.0,3.6,3.7,3.4,0.0,0.0,0.0
2000-01-04,2000-01-06,3.599999999999984,3.85,3.74,0.2189277847257447,0.2200277847257447,0.222202555662987,0.2202741383894968,0.2200251848208091,0.220002555662987,7.6,9.1,7.6,27.2,27.9,27.2,0.0,0.0,0.0,3.4,3.4,3.2,0.0,0.0,0.0
2000-01-07,2000-01-09,3.419844891870522,3.8199999999999976,4.509999999999999,0.2181321826324101,0.2156402868457453,0.2200402868457453,0.2201825930615369,0.2200167822327719,0.2200015437280453,7.1,7.9,10.2,27.3,27.8,27.7,0.0,0.0,0.0,3.3,3.7,3.7,0.0,0.0,0.0
2000-01-10,2000-01-12,4.070000000000001,4.07,5.570000000000005,0.2200037053900713,0.2126840425025872,0.2155840425025872,0.2200035066082245,0.2200003408654759,0.2200000313573469,8.7,10.3,12.6,28.7,29.7,30.0,0.0,0.0,0.0,3.7,4.4,4.8,0.0,0.0,0.0
2000-01-13,2000-01-15,5.719999999999997,5.130125263716773,2.5269462234684923,0.2210840425025872,0.2373004437602338,0.2025597338120365,0.2200000028846709,0.2200901596666777,0.2213500767210963,15.4,13.2,14.4,30.2,31.2,32.1,0.0,0.0,0.0,4.7,3.1,4.2,0.0,0.0,0.0
2000-01-16,2000-01-18,6.31999999999999,4.880000000000005,4.73,0.2184597338120364,0.2199597338120364,0.2177597338120364,0.2201233703617381,0.2200113423579783,0.2200010433645192,14.8,13.4,10.6,32.5,31.6,30.8,0.0,0.0,0.0,4.3,4.3,4.5,0.0,0.0,0.0
2000-01-19,2000-01-21,5.17,3.7799390553595655,5.150000000000015,0.2276597338120364,0.2134783433579092,0.2187783433579093,0.2200000959822337,0.2206201054816653,0.2200568710438705,13.5,10.7,13.0,31.2,30.9,31.6,0.0,0.0,0.0,3.8,4.1,4.2,0.0,0.0,0.0
2000-01-22,2000-01-24,4.7400000000000055,4.10963168867363,5.969999999999997,0.2232783433579094,0.2109274659111874,0.2266274659111874,0.2200052302965419,0.2202707183713684,0.2200248710475707,12.9,10.3,10.8,35.0,33.7,30.9,0.0,0.0,0.0,3.9,4.6,4.0,0.0,0.0,0.0
2000-01-25,2000-01-27,4.040110596836803,4.700000000000012,5.279999999999999,0.2169908041387541,0.2155908041387542,0.2210908041387541,0.2205410022793129,0.2200496357765108,0.2200045650490208,11.6,16.6,13.8,30.8,29.6,28.9,0.0,0.0,0.0,4.0,4.4,4.3,0.0,0.0,0.0
2000-01-28,2000-01-30,4.6900374759421055,5.420000000000013,4.719669638513117,0.2164001812289095,0.2222001812289096,0.2266968993517613,0.2200911351416744,0.2200083800674983,0.2201829234119183,14.2,12.0,10.8,29.2,29.5,30.2,0.0,0.0,0.0,4.6,4.4,3.7,0.0,0.0,0.0
