date_inicial,date_final,IrrDia_1,th1_dia1,th1_dia2,th1_dia3,th2_dia1,th2_dia2,th2_dia3,MinTemp_dia1,MinTemp_dia2,MinTemp_dia3,MaxTemp_dia1,MaxTemp_dia2,MaxTemp_dia3,Precipitation_dia1,Precipitation_dia2,Precipitation_dia3,ReferenceET_dia1,ReferenceET_dia2,ReferenceET_dia3
2000-01-01,2000-01-03,0.0,0.1894055479180841,0.1887308247718792,0.1695509469562624,0.22,0.22,0.22,11.3,11.3,8.6,27.3,26.7,26.7,0.0,0.0,0.0,3.6,3.7,3.4
2000-01-04,2000-01-06,0.0,0.1549806397638587,0.142905677269428,0.1333000037871458,0.22,0.22,0.22,7.6,9.1,7.6,27.2,27.9,27.2,0.0,0.0,0.0,3.4,3.4,3.2
2000-01-07,2000-01-09,0.0,0.124670529873132,0.116138890789631,0.1085317492839632,0.22,0.22,0.22,7.1,7.9,10.2,27.3,27.8,27.7,0.0,0.0,0.0,3.3,3.7,3.7
2000-01-10,2000-01-12,0.0,0.1016304848903202,0.0954158712671502,0.089431167522655,0.22,0.2187096027743169,0.2171275273559636,8.7,10.3,12.6,28.7,29.7,30.0,0.0,0.0,0.0,3.7,4.4,4.8
2000-01-13,2000-01-15,0.0,0.0842371217857346,0.0811321563056614,0.0772587398029515,0.2153867717414725,0.2140916877559334,0.2121185514081981,15.4,13.2,14.4,30.2,31.2,32.1,0.0,0.0,0.0,4.7,3.1,4.2
2000-01-16,2000-01-18,0.0,0.0736558374421327,0.070341694697278,0.067043511613392,0.2098479812284993,0.2072965319463038,0.2042997851543315,14.8,13.4,10.6,32.5,31.6,30.8,0.0,0.0,0.0,4.3,4.3,4.5
2000-01-19,2000-01-21,0.0,0.0643960675941895,0.0616795209433849,0.0590445625906723,0.2014549549044605,0.198009287889715,0.1940510182828656,13.5,10.7,13.0,31.2,30.9,31.6,0.0,0.0,0.0,3.8,4.1,4.2
2000-01-22,2000-01-24,0.0,0.056742483715173,0.0541887792780377,0.0521313808313467,0.1899275435313089,0.1844877836925852,0.1791907799152386,12.9,10.3,10.8,35.0,33.7,30.9,0.0,0.0,0.0,3.9,4.6,4.0
2000-01-25,2000-01-27,0.0,0.050226388452337,0.05,0.05,0.1732653257352665,0.1642943956877095,0.1546733176998679,11.6,16.6,13.8,30.8,29.6,28.9,0.0,0.0,0.0,4.0,4.4,4.3
2000-01-28,2000-01-30,0.0,0.05,0.05,0.05,0.1436377662138062,0.1322705576530981,0.1218999396981194,14.2,12.0,10.8,29.2,29.5,30.2,0.0,0.0,0.0,4.6,4.4,3.7
2000-01-31,2000-02-02,0.0,0.05,0.05,0.05,0.1090974835503275,0.0948646670718251,0.093876555310367,8.3,11.8,12.2,30.8,30.4,31.6,0.0,0.0,0.0,4.2,4.3,5.4
2000-02-03,2000-02-05,0.0,0.05,0.05,0.05,0.0930584533240184,0.092316660773479,0.0916467874802784,13.4,14.9,15.0,31.6,33.6,32.0,0.0,0.0,0.0,4.9,4.9,5.0
2000-02-06,2000-02-08,0.0,0.05,0.05,0.05,0.0910228910654462,0.0906169836825622,0.090281169658375,14.6,11.0,15.7,33.2,31.6,32.4,0.0,0.0,0.0,5.4,4.3,4.5
2000-02-09,2000-02-11,0.0,0.05,0.05,0.05,0.0899156728357067,0.0896172186494052,0.0892614573702717,17.1,18.4,17.4,32.6,32.0,33.8,0.0,0.0,0.0,5.2,4.5,5.5
2000-02-12,2000-02-14,0.0,0.05,0.05,0.05,0.0889375346904357,0.0886567769627428,0.0884106561612397,15.5,14.7,16.7,32.6,30.9,30.8,0.0,0.0,0.0,5.1,4.5,4.0
2000-02-15,2000-02-17,0.0,0.05,0.05,0.05,0.0881350301916249,0.087848067922077,0.0875628277721539,16.7,17.5,17.7,29.7,30.4,32.2,0.0,0.0,0.0,4.5,4.7,4.7
2000-02-18,2000-02-20,0.0,0.05,0.05,0.05,0.087255239300692,0.0869795204497884,0.0866514592383869,13.0,13.9,18.2,32.8,31.7,31.7,0.0,0.0,0.0,5.1,4.6,5.5
2000-02-21,2000-02-23,0.0,0.05,0.05,0.05,0.0863071809501406,0.0859889045921567,0.0857428550578005,17.5,18.0,18.4,32.2,32.1,28.2,0.0,0.0,0.0,5.8,5.4,4.2
2000-02-24,2000-02-26,0.0,0.05,0.05,0.3649,0.0854574242150924,0.0852136335988333,0.2783266977334599,18.0,19.0,16.8,30.0,29.7,29.4,0.0,0.0,55.6,4.9,4.2,4.1
2000-02-27,2000-02-29,0.0,0.2076400375561877,0.1618542166209255,0.1194724850189494,0.223320015957133,0.22030041000904,0.2200275947845338,15.5,14.5,11.3,26.2,28.9,30.2,2.2,0.0,0.0,3.3,4.2,4.6
